line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
7号线,静安寺,胶州大楼,2,1,79,西南,,简装,1,高,28,1998,塔楼,静安寺,81013,640,0,0
13号线,武宁路,上海知音苑,3,2,137.05,南,,精装,1,低,18,2003,板楼,长寿路,87560,1200,0,0
13号线,陈春路,莲园路310弄,1,1,45.57,南,,简装,0,低,6,1993,板楼,北蔡,51570,235,0,0
6号线,博兴路,金桥湾清水苑,2,1,69.61,南,,简装,0,中,6,1998,板楼,金桥,61773,430,0,0
17号线,漕盈路,浩泽家园,2,2,83.67,南,,精装,0,中,6,2006,板楼,盈浦,33226,278,0,0
2号线,东昌路,东昌新村,2,1,61.95,南,,精装,0,高,6,1985,板楼,陆家嘴,77482,480,0,0
11号线(嘉定北-迪士尼),嘉定北,桃园新村(嘉定),1,1,46,南,,简装,0,中,6,1984,板楼,嘉定老城,31522,145,0,0
9号线,陆家浜路,西凌新邨,1,0,30.42,北,,简装,0,低,6,1990,板楼,蓬莱公园,78239,238,0,0
11号线(花桥-三林),徐家汇,文定路89号,2,0,48,东南,,简装,0,中,6,1982,板楼,徐家汇,133125,639,0,0
5号线,金平路,新华小区,3,1,61.48,南,,毛坯,0,低,6,1992,板楼,老闵行,30092,185,0,0
10号线(新江湾城-虹桥火车站),四平路,控江路2100号,2,0,56.5,南,,简装,0,高,6,1983,板楼,鞍山,56638,320,0,0
8号线,嫩江路,国和二村,3,1,64.78,南,,简装,0,高,6,1990,板楼,中原,54801,355,0,0
11号线(花桥-三林),上海游泳馆,上缝小区,3,2,106.59,南,,精装,0,高,6,1995,板楼,龙华,63327,675,0,0
11号线(花桥-三林),交通大学,番禺大厦,1,1,44.42,南,,精装,1,低,29,1999,塔楼,新华路,71140,316,0,0
4号线,临平路,大连路1188弄,1,0,33.83,南,,毛坯,0,低,7,1992,板楼,鞍山,60893,206,0,0
11号线(花桥-三林),江苏路,长宁路234弄,1,1,51.61,南,,精装,0,高,6,1987,板楼,中山公园,60066,310,0,0
7号线,东安路,徐家汇花园,2,2,102.75,南,,精装,1,中,8,2000,板楼,徐家汇,91095,936,0,0
7号线,昌平路,姚西小区,1,1,27.39,北,,简装,0,高,7,1990,塔楼,曹家渡,96751,265,0,0
8号线,翔殷路,浣沙三村,1,1,47.08,南,,简装,0,高,6,1995,板楼,黄兴公园,55226,260,0,0
9号线,佘山,新凯城丹桂苑,1,1,50.45,南,,毛坯,1,中,9,2011,板楼,泗泾,37265,188,0,0
6号线,博兴路,碧云新天地(一期),3,3,156,南,,精装,0,低,6,2002,板楼,金桥,83334,1300,0,0
7号线,芳华路,芳芯苑,1,1,48.15,南,,简装,0,中,6,1994,板楼,北蔡,55037,265,0,0
1号线,外环路,地铁明珠苑,2,2,108,南,,精装,0,中,6,2001,板楼,莘庄,55371,598,0,0
7号线,静安寺,延安中路527号,1,1,37.17,南,,简装,0,高,6,1977,板楼,淮海中路,75330,280,0,0
10号线(新江湾城-虹桥火车站),国权路,大诚花苑,4,2,170.24,南,,其他,0,高,7,2000,板楼,五角场,67552,1150,0,0
13号线,马当路,复兴苑,2,1,110.12,西南,,简装,1,中,32,1998,板塔结合,新天地,86270,950,0,0
13号线,南京西路,国际丽都城,5,3,330.29,南,,精装,1,高,20,2005,板楼,南京西路,139272,4600,0,0
6号线,上南路,翰锦苑,2,2,97.46,南,,其他,1,高,9,2003,板楼,三林,65668,640,0,0
12号线,巨峰路,伟业金锦苑一村,1,1,57.08,南,,简装,0,中,6,2003,板楼,金桥,54310,310,0,0
8号线,虹口足球场,多伦多公馆,1,0,49.32,南,,精装,1,高,22,1995,塔楼,四川北路,58395,288,0,0
7号线,高科西路,临沂六村,1,1,34.76,南,,简装,0,高,6,1989,板楼,南码头,49770,173,0,0
8号线,黄兴公园,延吉四村,2,1,47.93,西南,东北,其他,0,中,6,1986,板楼,黄兴公园,59462,285,0,0
1号线,锦江乐园,梅陇二村,2,1,63.87,南,,简装,0,高,6,1992,板楼,梅陇,42117,269,0,0
3号线,淞发路,鎏园,2,2,112.3,南,,精装,1,低,11,2008,板楼,淞南,46750,525,0,0
13号线,隆德路,蓝朝部落,1,0,45.25,南,,精装,1,高,31,2002,塔楼,曹家渡,93923,425,0,0
11号线(花桥-三林),交通大学,吴兴路21弄,2,1,63.21,南,,其他,0,高,5,1975,板楼,衡山路,133682,845,0,0
8号线,翔殷路,浣沙三村,2,2,70.15,南,,简装,0,中,6,1995,板楼,黄兴公园,54170,380,0,0
4号线,延安西路,定西路1235弄,2,1,53.35,南,,毛坯,0,低,6,1989,板楼,中山公园,71228,380,0,0
4号线,南浦大桥,百花公寓,2,2,109.89,南,北,精装,1,低,32,2001,板楼,蓬莱公园,77988,857,0,0
10号线(新江湾城-虹桥火车站),四平路,鞍山六村,1,0,31.15,南,,简装,0,低,5,1966,板楼,鞍山,54575,170,0,0
3号线,淞滨路,海滨新村,1,0,45.94,南,,简装,0,中,5,1960,板楼,淞宝,30910,142,0,0
13号线,莲溪路,莲康苑,1,1,58.18,南,,精装,1,中,17,2014,板楼,北蔡,55862,325,0,0
9号线,小南门,中福花苑,1,2,59.6,东南,,精装,1,高,19,2003,塔楼,蓬莱公园,98994,590,0,0
11号线(花桥-三林),上海西站,杨桥第一小区,3,1,69.93,南,北,简装,0,中,6,1995,板楼,桃浦,45761,320,0,0
6号线,德平路,仁和花苑,2,2,76.62,南,,精装,1,高,7,1996,板楼,金杨,56774,435,0,0
6号线,源深体育中心,山水国际,2,1,107.4,南,,精装,1,低,29,2006,板楼,源深,102421,1100,0,0
3号线,江湾镇,三湘世纪花城,2,2,91.09,南,,简装,0,低,6,2001,板楼,五角场,70261,640,0,0
4号线,上海火车站,北方佳苑,2,2,103.02,南,,毛坯,1,低,26,2006,板楼,不夜城,73773,760,0,0
6号线,博兴路,龙臣公寓,2,2,86.51,南,北,简装,0,高,6,1997,板楼,金桥,45082,390,0,0
10号线(新江湾城-虹桥火车站),海伦路,新陆花苑,2,1,82.75,南,,精装,1,低,24,1994,塔楼,临平路,57402,475,0,0
2号线,威宁路,古宋小区,2,1,43.88,南,,精装,0,低,6,1987,板楼,仙霞,87968,386,0,0
12号线,江浦公园,圣骊河滨苑,2,2,108.83,南,,精装,1,中,33,2009,板楼,东外滩,82698,900,0,0
8号线,市光路,市光一村,1,1,61.39,东南,北,其他,1,中,18,1991,塔楼,中原,52941,325,0,0
